TEAM,ABBREV,SEASON,GP_season,SV/GP,G_season,W_season,L_season,T_season,OTL_season,PTS_season,PTS%_season,GA_season,PP%_season,PK%_season,S/GP_season,SA/GP_season,GP_5game,W_5game,L_5game,T_5game,OTL_5game,PTS_5game,PTS%_5game,G_5game,GA_5game,PP%_5game,PK%_5game,S/GP_5game,SA/GP_5game,GP_10game,W_10game,L_10game,T_10game,OTL_10game,PTS_10game,PTS%_10game,G_10game,GA_10game,PP%_10game,PK%_10game,S/GP_10game,SA/GP_10game,GP_15game,W_15game,L_15game,T_15game,OTL_15game,PTS_15game,PTS%_15game,G_15game,GA_15game,PP%_15game,PK%_15game,S/GP_15game,SA/GP_15game,W%_season,W%_5game,W%_10game,W%_15game,Avg_PP%,Avg_PK%,Avg_S/GP%,Avg_PTS%,Total_Goals,Total_Games,Avg_Goals,Av_W%
Montreal Canadiens,MON,2023-24,9,32.11,27,5,2,,2,12,0.667,28,20.0,75.0,29.89,35.22,5,3,1,0,1,7.0,0.7,14,14.0,27.8,70.0,30.6,35.4,10,5,3,0,2,12,0.6,31,33,18.4,78.0,30.3,33.8,15,6,7,0,2,14,0.467,40,54,13.5,72.5,27.53,34.4,55.56,60.0,50.0,40.0,19.92,73.88,29.58,60.85,112,39,2.87,51.39
Toronto Maple Leafs,TOR,2023-24,8,26.5,28,5,2,,1,11,0.688,24,32.1,74.1,33.63,29.5,5,3,1,0,1,7.0,0.7,15,11.0,27.8,72.2,31.6,29.8,10,6,3,0,1,13,0.65,32,28,31.3,71.9,34.6,30.4,15,7,7,0,1,15,0.5,42,43,25.6,75.0,33.0,30.67,62.5,60.0,60.0,46.67,29.2,73.3,33.21,63.45,117,38,3.08,57.29
Boston Bruins,BOS,2023-24,9,28.0,29,8,0,,1,17,0.944,14,16.7,97.3,31.33,29.56,5,4,0,0,1,9.0,0.9,16,8.0,11.8,100.0,31.6,29.6,10,8,1,0,1,17,0.85,32,18,20.6,95.0,31.8,29.7,15,10,4,0,1,21,0.7,53,39,27.3,89.1,33.47,30.67,88.89,80.0,80.0,66.67,19.1,95.35,32.05,84.85,130,39,3.33,78.89
New York Rangers,NYR,2023-24,9,24.22,28,7,2,,0,14,0.778,18,34.4,83.9,28.22,26.22,5,5,0,0,0,10.0,1.0,17,7.0,38.9,94.4,25.8,27.2,10,7,3,0,0,14,0.7,28,22,30.6,85.3,28.5,26.0,15,9,6,0,0,18,0.6,40,34,24.6,82.4,28.4,27.6,77.78,100.0,70.0,60.0,32.12,86.5,27.73,76.95,113,39,2.9,76.94
Chicago Blackhawks,CHI,2023-24,9,30.67,19,3,6,,0,6,0.333,32,9.1,86.7,26.33,34.22,5,1,4,0,0,2.0,0.2,8,23.0,13.3,80.0,23.8,32.4,10,3,6,0,1,7,0.35,23,37,11.8,83.9,27.5,34.4,15,5,9,0,1,11,0.367,37,56,11.1,82.2,28.6,33.47,33.33,20.0,30.0,33.33,11.32,83.2,26.56,31.25,87,39,2.23,29.16
Detroit Red Wings,DET,2023-24,10,28.3,40,6,3,,1,13,0.65,31,32.4,81.1,30.9,31.4,5,2,2,0,1,5.0,0.5,16,18.0,15.8,75.0,30.4,33.8,10,6,3,0,1,13,0.65,40,31,32.4,81.1,30.9,31.4,15,6,7,0,2,14,0.467,49,57,28.6,78.0,28.93,30.67,60.0,40.0,60.0,40.0,27.3,78.8,30.28,56.68,145,40,3.62,50.0
Los Angeles Kings,LA,2023-24,8,24.13,35,4,2,,2,10,0.625,28,16.7,85.7,33.0,27.63,5,3,1,0,1,7.0,0.7,23,17.0,15.8,82.4,33.8,27.6,10,4,4,0,2,10,0.5,42,39,20.0,78.8,33.6,27.4,15,7,6,0,2,16,0.533,60,56,23.1,71.7,33.4,30.47,50.0,60.0,40.0,46.67,18.9,79.65,33.45,58.95,160,38,4.21,49.17
Dallas Stars,DAL,2023-24,7,28.29,21,5,1,,1,11,0.786,17,9.5,95.5,29.71,30.71,5,4,1,0,0,8.0,0.8,18,14.0,13.3,93.3,29.6,31.4,10,7,2,0,1,15,0.75,28,27,16.0,92.6,30.7,31.2,15,8,6,0,1,17,0.567,38,45,16.7,87.5,30.4,29.4,71.43,80.0,70.0,53.33,13.88,92.22,30.1,72.58,105,37,2.84,68.69
Philadelphia Flyers,PHI,2023-24,9,25.0,30,4,4,,1,9,0.5,28,12.5,76.0,32.67,28.11,5,1,3,0,1,3.0,0.3,18,20.0,20.0,72.7,32.4,28.0,10,5,4,0,1,11,0.55,35,32,15.2,73.1,33.0,29.1,15,6,8,0,1,13,0.433,45,52,12.8,73.0,32.8,29.27,44.44,20.0,50.0,40.0,15.12,73.7,32.72,44.58,128,39,3.28,38.61
Pittsburgh Penguins,PIT,2023-24,9,25.56,26,3,6,,0,6,0.333,29,14.8,82.1,35.89,28.78,5,1,4,0,0,2.0,0.2,12,17.0,12.5,86.7,37.0,27.8,10,3,6,0,1,7,0.35,28,32,20.7,81.3,35.9,29.3,15,6,8,0,1,13,0.433,44,46,20.0,84.3,34.13,29.2,33.33,20.0,30.0,40.0,17.0,83.6,35.73,32.9,110,39,2.82,30.83
